date,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,rank_24,rank_25,rank_26,rank_27,rank_28,rank_29,rank_30,rank_31,rank_32,rank_33,rank_34,rank_35,rank_36,rank_37,rank_38,rank_39,rank_40,rank_41,rank_42,rank_43,rank_44,rank_45,rank_46,rank_47,rank_48,rank_49,rank_50
2021-01-01 00:00:00+00:00,BTC,BTT,ETH,DOT,XRP,LTC,LINK,BCH,BNB,GRT,UNI,ALGO,ATOM,TRX,NEAR,1INCH,COMP,RSR,AAVE,AVAX,CRV,BAND,SOL,BAL,YFI,SUSHI,DOGE,WAVES,SXP,SKL,SRM,OMG,REN,BAT,ZRX,HNT,CHZ,LRC,MANA,BNT,KNC,SAND,AXS,TOMO,CVC,YFII,STORJ,MTL,CHR,DENT
2021-01-01 04:00:00+00:00,BTC,BTT,ETH,DOT,XRP,LTC,LINK,BCH,BNB,GRT,ALGO,UNI,ATOM,TRX,NEAR,1INCH,COMP,AVAX,RSR,AAVE,BAND,CRV,SOL,BAL,YFI,SUSHI,DOGE,WAVES,SXP,SKL,SRM,OMG,REN,BAT,ZRX,HNT,CHZ,LRC,MANA,BNT,KNC,SAND,AXS,TOMO,CVC,YFII,STORJ,MTL,CHR,DENT
2021-01-01 08:00:00+00:00,BTC,BTT,ETH,DOT,XRP,LTC,LINK,BCH,BNB,GRT,ALGO,UNI,ATOM,TRX,NEAR,1INCH,AVAX,RSR,COMP,AAVE,BAND,CRV,SOL,BAL,SUSHI,YFI,DOGE,WAVES,SKL,SXP,SRM,OMG,REN,ZRX,BAT,HNT,LRC,CHZ,MANA,KNC,BNT,SAND,AXS,TOMO,CVC,YFII,STORJ,MTL,CHR,DENT
2021-01-01 12:00:00+00:00,BTC,BTT,ETH,XRP,DOT,LTC,LINK,BCH,BNB,GRT,ALGO,UNI,ATOM,TRX,NEAR,1INCH,AVAX,RSR,COMP,AAVE,BAND,CRV,SOL,BAL,SUSHI,YFI,DOGE,WAVES,SKL,SXP,SRM,OMG,REN,ZRX,BAT,HNT,LRC,CHZ,MANA,BNT,KNC,SAND,AXS,TOMO,CVC,YFII,STORJ,MTL,CHR,DENT
2021-01-01 16:00:00+00:00,BTC,BTT,ETH,XRP,DOT,LTC,LINK,BCH,BNB,GRT,ALGO,UNI,ATOM,TRX,NEAR,1INCH,AVAX,RSR,COMP,AAVE,SOL,BAND,CRV,BAL,SUSHI,DOGE,YFI,WAVES,SKL,SXP,SRM,OMG,REN,ZRX,BAT,HNT,LRC,CHZ,MANA,BNT,KNC,SAND,AXS,TOMO,CVC,YFII,STORJ,MTL,CHR,DENT
2021-01-01 20:00:00+00:00,BTC,BTT,ETH,XRP,DOT,LTC,LINK,BCH,BNB,GRT,ALGO,UNI,ATOM,TRX,NEAR,1INCH,AVAX,RSR,COMP,AAVE,SOL,BAND,CRV,SUSHI,BAL,DOGE,YFI,WAVES,SKL,SXP,SRM,OMG,ZRX,REN,BAT,HNT,LRC,CHZ,MANA,BNT,KNC,AXS,SAND,TOMO,CVC,YFII,STORJ,MTL,CHR,DENT
2021-01-02 00:00:00+00:00,BTC,BTT,ETH,DOT,XRP,LTC,LINK,BCH,BNB,GRT,ALGO,UNI,ATOM,TRX,NEAR,AVAX,RSR,1INCH,COMP,AAVE,SOL,DOGE,BAND,BAL,CRV,SUSHI,YFI,WAVES,SXP,SKL,SRM,OMG,ZRX,REN,BAT,HNT,LRC,CHZ,MANA,BNT,KNC,AXS,SAND,TOMO,CVC,YFII,STORJ,MTL,CHR,DENT
2021-01-02 04:00:00+00:00,BTC,BTT,ETH,XRP,DOT,LTC,LINK,BCH,BNB,ALGO,GRT,UNI,ATOM,TRX,NEAR,RSR,AVAX,1INCH,COMP,AAVE,DOGE,BAND,SOL,BAL,SUSHI,CRV,YFI,WAVES,SXP,SKL,SRM,OMG,ZRX,REN,BAT,HNT,LRC,CHZ,MANA,BNT,KNC,SAND,AXS,TOMO,CVC,YFII,STORJ,MTL,CHR,DENT
2021-01-02 08:00:00+00:00,BTC,BTT,ETH,DOT,XRP,LTC,LINK,BCH,BNB,ALGO,GRT,UNI,ATOM,TRX,RSR,NEAR,AVAX,1INCH,COMP,AAVE,DOGE,BAND,SOL,BAL,CRV,SUSHI,YFI,WAVES,SXP,SKL,SRM,OMG,ZRX,REN,BAT,HNT,LRC,CHZ,MANA,BNT,KNC,SAND,AXS,TOMO,CVC,YFII,STORJ,MTL,CHR,DENT
2021-01-02 12:00:00+00:00,BTC,BTT,ETH,DOT,XRP,LTC,LINK,BCH,BNB,ALGO,GRT,UNI,ATOM,TRX,NEAR,RSR,1INCH,AVAX,COMP,DOGE,AAVE,SOL,BAND,BAL,CRV,SUSHI,YFI,WAVES,SXP,SKL,SRM,OMG,REN,ZRX,BAT,HNT,LRC,CHZ,MANA,BNT,KNC,SAND,AXS,TOMO,CVC,YFII,STORJ,MTL,CHR,DENT
